metro,state,yoy,dom,ratio,med_price,total_sales,hot_zips,lat,lng,beds_2,beds_3,beds_4,beds_5,addresses,last_attom_pull
"Springfield, IL",IL,33.33,26,0.952,200000,162,"62704:57|62702:48|62703:28|62711:13",39.77,-89.67,0,0,0,0,[],2026-03-24
"Van Wert, OH",OH,26.48,43,0.638,181500,44,"45895:18|45891:16",40.87,-84.58,8,27,4,1,[],2026-03-24
"Crawfordsville, IN",IN,19.45,40,0.719,218000,27,"47933:21",40.04,-86.87,7,14,3,0,[],2026-03-24
"State College, PA",PA,17.56,19,0.568,416700,70,"16801:28|16823:20",40.79,-77.86,10,33,14,6,[],2026-03-24
"Lebanon, PA",PA,17.54,31,0.569,353750,124,"17042:48|17046:27|17067:16|17003:13",40.34,-76.43,40,61,15,2,[],2026-03-24
"Batavia, NY",NY,17.1,25,0.895,220000,30,"14020:17",43.0,-78.19,8,15,7,0,[],2026-03-24
"Muskegon, MI",MI,16.74,42,0.602,251000,152,"49442:47|49441:40|49444:24|49445:24|49457:12",43.23,-86.25,36,62,15,2,[],2026-03-24
"Lewistown, PA",PA,16.53,31,0.553,182950,17,"",40.6,-77.57,0,0,0,0,[],2026-03-24
"Springfield, OH",OH,15.98,42,0.552,225000,184,"45503:54|45505:53|45506:35|45504:24|45502:18",39.93,-83.81,52,102,22,1,[],2026-03-24
"Elkhart, IN",IN,14.16,38,0.618,270000,129,"46514:41|46516:36|46528:23|46526:18",41.69,-85.97,36,65,23,2,[],2026-03-24
"Erie, PA",PA,13.3,30,0.719,192500,98,"16509:22|16504:14|16511:13|16508:12",42.13,-80.09,14,58,21,1,[],2026-03-24
"Seneca Falls, NY",NY,12.0,27,0.64,209950,22,"",42.91,-76.8,4,12,6,0,[],2026-03-24
"South Bend, IN",IN,11.67,43,0.526,217750,381,"46628:55|46544:46|46614:45|46619:37|46530:31|46613:27|46615:22|46545:19|46561:19|46617:16|46637:15",41.68,-86.25,110,200,56,9,[],2026-03-24
"Rochester, NY",NY,10.87,15,0.872,249450,110,"44622:37|44614:15|44618:12",43.16,-77.61,20,61,12,4,[],2026-03-24
"Akron, OH",OH,10.8,40,0.561,228250,419,"44314:50|44320:49|44319:48|44306:47|44305:42|44313:39|44312:37|44310:36|44301:30|44307:14",41.08,-81.52,99,261,39,8,[],2026-03-24
"Rockford, IL",IL,10.69,23,0.819,220000,292,"61107:46|61008:39|61108:29|61115:26|61109:23|61101:21|61111:21|61102:21|61103:16|61073:13",42.27,-89.09,48,164,50,6,[],2026-03-24
"Fort Wayne, IN",IN,8.51,42,0.586,255000,298,"46835:39|46815:35|46806:32|46805:26|46818:25|46808:25|46804:21|46807:19|46814:17|46816:15|46809:12",41.08,-85.14,37,179,73,7,[],2026-03-24
"Reading, PA",PA,7.99,23,0.827,341800,424,"19601:40|19606:40|19605:30|19607:30|19602:28|19604:25|19608:23|19540:17|19522:17|19609:16|19508:13|19518:13|19610:12|19512:12|19530:12|19526:12",40.34,-75.93,69,234,87,28,[],2026-03-24
"Cleveland, OH",OH,7.97,29,0.607,267132,1237,"44105:100|44125:70|44121:64|44129:61|44134:53|44111:53|44109:50|44108:48|44120:48|44124:45|44135:45|44122:41|44146:41|44118:34|44107:28|44136:28|44137:27|44123:26|44110:26|44143:25|44131:25|44144:24|44126:22|44138:21|44147:20|44119:20|44140:19|44130:19|44116:19|44132:19|44112:18|44113:16|44139:15|44145:14",41.5,-81.69,186,761,247,32,[],2026-03-24
